A-1	A
ACETYLCY-654	Acetylcysteine Linn
ACETYLCY-655	Acetylcysteine Macure
ACETYLCY-656	Acetylcysteïne Marel
ACETYLCY-657	Acetylcysteine Ratiopharm
ACETYLCY-658	Acetylcysteine Ridge Pharma
ACETYLCY-659	Acetylcysteïne Rxt
ACETYLCY-660	Acetylcysteïne Sam
ACETYLCY-661	Acetylcysteine Sandoz
ACETYLCY-662	Acetylcysteïne Sandoz
ACETYLCY-663	Acetylcysteine Sandoz Conseil
ACETYLCY-664	Acetylcysteïne Sanias
ACETYLCY-665	Acetylcysteine Sans Sucre Bgr Conseil
ACETYLCY-666	Acetylcysteine Sans Sucre Eg Labo Conseil
ACETYLCY-667	Acetylcysteine Sans Sucre Teva Conseil
ACETYLCY-668	Acetylcysteine Siromed
ACETYLCY-669	Acetylcysteine Teva
ACETYLCY-670	Acetylcysteïne Teva
ACETYLCY-671	Acetylcysteine Viatris Conseil
ACETYLCY-672	Acetylcysteine Waymade
ACETYLCY-673	Acetylcysteinum Flegamina
ACETYLLE-674	Acetylleucine Biogaran
ACETYLLE-675	Acetylleucine Teva
ACETYLLE-676	Acetylleucine Viatris
ACETYLLE-677	Acetylleucine Zentiva
ACETYLSA-678	Acetylsalicylic Acid Aurobindo
ACETYLSA-679	Acetylsalicylic Acid Bluefish
ACETYLSA-680	Acetylsalicylic Acid Krka
ACETYLSA-681	Acetylsalicylic Acid Marel
ACETYLSA-682	Acetylsalicylic Acid Nvt
ACETYLSA-683	Acetylsalicylic Acid Santa
ACETYLSA-684	Acetylsalicylic Acid, Paracetamol, Coffeïne Leidapharm
ACETYLSA-685	Acetylsalicylic Acid, Paracetamol, Coffeïne Marel
ACETYLSA-686	Acetylsalicylique Viatris
ACETYLSA-687	Acetylsalicylsäure Adgc
ACETYLSA-688	Acetylsalicylsäure G.L. Pharma
ACETYLSA-689	Acetylsalicylsäure I.V. Panpharma
ACETYLSA-690	Acetylsalicylsäure Panpharma
ACETYLSA-691	Acetylsalicylsäure Zentiva Pharma
ACETYLSA-692	Acetylsalicyls�ure G.L. Pharma
ACETYLSA-693	Acetylsalicylsyra Abece
ACETYLSA-694	Acetylsalicylsyra Evolan
ACETYLSA-695	Acetylsalicylsyra G.L. Pharma
ACETYLSA-696	Acetylsalicylsyra Teva
ACETYLSA-697	Acetylsalicylsyre Teva
ACETYLSA-698	Acetylsalicylzuur Cardio
ACETYLSA-699	Acetylsalicylzuur Cardio Aurobindo
ACETYLSA-700	Acetylsalicylzuur Neuro Ratiopharm
ACETYLSA-701	Acetylsalicylzuur Neuro Teva
ACETYLSA-702	Acetylsalicylzuur Panmedica
ACETYLSA-703	Acetylsalicylzuur Panpharma
ACETYLSA-704	Acetylsalicylzuur Panpharma Panpharma
ACETYLSA-705	Acetylsalicylzuur Ratiopharm
ACETYLSA-706	Acetylsalicylzuur Teva
ACETYLSA-707	Acetylsalicylzuur, Paracetamol, Coffeïne Aurobindo
ACETYLSA-708	Acetylsalicylzuur, Paracetamol, Coffeïne Sameko
ACETYLSA-709	Acetylsalisylsyre Actavis
ACETYLSA-710	Acetylsalisylsyre Norfri
ACEVIREX-711	Acevirex
ACFOL-712	Acfol
ACHILLEA-713	Achillea Comp.
ACIBEL-714	Acibel
ACIC-715	Acic
ACICCOLD-716	Acic Cold Sore
ACICCREM-717	Acic Creme Bei Lippenherpes
ACICLIN-718	Aciclin
ACICLINL-719	Aciclinlabiale
ACICLO-720	Aciclo
ACICLOBE-721	Aciclobene
ACICLOBE-722	Aciclobeta
ACICLODA-723	Aciclodan
ACICLOSI-724	Aciclosina
ACICLOST-725	Aciclostad
ACICLOST-726	Aciclostad Gegen Lippenherpes
ACICLOVA-727	Aciclovax - Iv
ACICLOVI-728	Aciclovir
ACICLOVI-729	Aciclovir  Heumann
ACICLOVI-730	Aciclovir +pharma
ACICLOVI-731	Aciclovir 089pharm
ACICLOVI-732	Aciclovir 1 A Pharma
ACICLOVI-733	Aciclovir 1a Farma
ACICLOVI-734	Aciclovir 1a Pharma
ACICLOVI-735	Aciclovir Ab
ACICLOVI-736	Aciclovir Abc
ACICLOVI-737	Aciclovir Abz
ACICLOVI-738	Aciclovir Accord
ACICLOVI-739	Aciclovir Accord Healthcare
ACICLOVI-740	Aciclovir Accord-Uk
ACICLOVI-741	Aciclovir Accord-Uk Ltd
ACICLOVI-742	Aciclovir Actavis
ACICLOVI-743	Aciclovir Agepha
ACICLOVI-744	Aciclovir Akut
ACICLOVI-745	Aciclovir Al
ACICLOVI-746	Aciclovir Alfasigma
ACICLOVI-747	Aciclovir Almus
ACICLOVI-748	Aciclovir Almus Pharma
ACICLOVI-749	Aciclovir Altan
ACICLOVI-750	Aciclovir Alter
ACICLOVI-751	Aciclovir Alternova
ACICLOVI-752	Aciclovir Alvogen
ACICLOVI-753	Aciclovir Arena
ACICLOVI-754	Aciclovir Aristo
ACICLOVI-755	Aciclovir Arrow
ACICLOVI-756	Aciclovir Arrow Conseil
ACICLOVI-757	Aciclovir Arrow Generiques
ACICLOVI-758	Aciclovir Aurobindo
ACICLOVI-759	Aciclovir Aurobindo Italia
ACICLOVI-760	Aciclovir Aurobindo Pharma
ACICLOVI-761	Aciclovir Aurovitas
ACICLOVI-762	Aciclovir Avianta Pharma
ACICLOVI-763	Aciclovir Axone
ACICLOVI-764	Aciclovir Azevedos
ACICLOVI-765	Aciclovir Baxter
ACICLOVI-766	Aciclovir Baxter Holding B.V
ACICLOVI-767	Aciclovir Biogaran
ACICLOVI-768	Aciclovir Biogaran Conseil
ACICLOVI-769	Aciclovir Bluepharma
ACICLOVI-770	Aciclovir Brill Pharma
ACICLOVI-771	Aciclovir Cf
ACICLOVI-772	Aciclovir Ciclum
ACICLOVI-773	Aciclovir Cinfa
ACICLOVI-774	Aciclovir Conseil Cristers
ACICLOVI-775	Aciclovir Corzil Laboratórios Azevedos – Indústria Farmacêutica
ACICLOVI-776	Aciclovir Creme 1 A Pharma
ACICLOVI-777	Aciclovir Crescent Pharma
ACICLOVI-778	Aciclovir Crescent Pharma Limited
ACICLOVI-779	Aciclovir Cristers
ACICLOVI-780	Aciclovir Ct
ACICLOVI-781	Aciclovir Cuve
ACICLOVI-782	Aciclovir Dawa
ACICLOVI-783	Aciclovir Demo Pharma Uk
ACICLOVI-784	Aciclovir Doc Generici
ACICLOVI-785	Aciclovir Dorom
ACICLOVI-786	Aciclovir Eg
ACICLOVI-787	Aciclovir Egis Pharmaceuticals
ACICLOVI-788	Aciclovir Ethypharm
ACICLOVI-789	Aciclovir Farmaprojects
ACICLOVI-790	Aciclovir Farmex
ACICLOVI-791	Aciclovir Fiterman
ACICLOVI-792	Aciclovir Generis
ACICLOVI-793	Aciclovir Generis Phar
ACICLOVI-794	Aciclovir Germed
ACICLOVI-795	Aciclovir Gsk
ACICLOVI-796	Aciclovir Heumann
ACICLOVI-797	Aciclovir Hikma
ACICLOVI-798	Aciclovir Hikma Farmacêutica (Portugal)
ACICLOVI-799	Aciclovir Hospira
ACICLOVI-800	Aciclovir Hospira Uk
ACICLOVI-801	Aciclovir I.V Gsk
ACICLOVI-802	Aciclovir I.V. Gsk
ACICLOVI-803	Aciclovir Jelfa
ACICLOVI-804	Aciclovir Jonax Stada
ACICLOVI-805	Aciclovir Kent Pharma Uk
ACICLOVI-806	Aciclovir Kern Pharma
ACICLOVI-807	Aciclovir Labesfal
ACICLOVI-808	Aciclovir Labialis Eg
ACICLOVI-809	Aciclovir Labialis Teva
ACICLOVI-810	Aciclovir Laboratórios Azevedos - Indústria Farmacêutica
ACICLOVI-811	Aciclovir Laropharm
ACICLOVI-812	Aciclovir Lippenherpescreme Ratiopharm
ACICLOVI-813	Aciclovir Livixon
ACICLOVI-814	Aciclovir Mabo
ACICLOVI-815	Aciclovir Medochemie
ACICLOVI-816	Aciclovir Mercury Pharmaceuticals Ltd
ACICLOVI-817	Aciclovir Milpharm
ACICLOVI-818	Aciclovir Mylan Generics
ACICLOVI-819	Aciclovir Noridem
ACICLOVI-820	Aciclovir Noridem Enterprises
ACICLOVI-821	Aciclovir Normon
ACICLOVI-822	Aciclovir Olikla
ACICLOVI-823	Aciclovir Orion
ACICLOVI-824	Aciclovir Pensa
ACICLOVI-825	Aciclovir Pensa Pharma
ACICLOVI-826	Aciclovir Pfizer
ACICLOVI-827	Aciclovir Pfizer Healthcare Ireland
ACICLOVI-828	Aciclovir Pinewood Laboratories Limited
ACICLOVI-829	Aciclovir Puren
ACICLOVI-830	Aciclovir Quattro Pharma
ACICLOVI-831	Aciclovir Ranbaxy
ACICLOVI-832	Aciclovir Ratiopharm
ACICLOVI-833	Aciclovir Reig Jofre
ACICLOVI-834	Aciclovir Relonchem
ACICLOVI-835	Aciclovir Richter
ACICLOVI-836	Aciclovir Rompharm
ACICLOVI-837	Aciclovir Rosemont Pharmaceuticals
ACICLOVI-838	Aciclovir Sala
ACICLOVI-839	Aciclovir Sandoz
ACICLOVI-840	Aciclovir Sandoz Care
ACICLOVI-841	Aciclovir Sandoz Conseil
ACICLOVI-842	Aciclovir Siromed
ACICLOVI-843	Aciclovir Siromed Stada Arzneimittel
ACICLOVI-844	Aciclovir Slavia
ACICLOVI-845	Aciclovir Sodium Hfa Holdings
ACICLOVI-846	Aciclovir Stada
ACICLOVI-847	Aciclovir Stada Genéricos
ACICLOVI-848	Aciclovir Sun Pharma Uk
ACICLOVI-849	Aciclovir Syri
ACICLOVI-850	Aciclovir Syri Pharma
ACICLOVI-851	Aciclovir Tedec
ACICLOVI-852	Aciclovir Terapia
ACICLOVI-853	Aciclovir Teva
ACICLOVI-854	Aciclovir Tis
ACICLOVI-855	Aciclovir Tolife
ACICLOVI-856	Aciclovir Unifarma
ACICLOVI-857	Aciclovir Vectans Pharma
ACICLOVI-858	Aciclovir Viatris
ACICLOVI-859	Aciclovir Vida
ACICLOVI-860	Aciclovir Vir
ACICLOVI-861	Aciclovir Vir Pharma
ACICLOVI-862	Aciclovir Virostad
ACICLOVI-863	Aciclovir Vitória
ACICLOVI-864	Aciclovir Vocate
ACICLOVI-865	Aciclovir Wockhardt Uk
ACICLOVI-866	Aciclovir Zentiva
ACICLOVI-867	Aciclovir Ziaja
ACICLOVI-868	Aciclovir Zydus
ACICUTAN-869	Acicutan
ACIDACET-870	Acid Acetilsalicilic Biofarm
ACIDACET-871	Acid Acetilsalicilic Krka
ACIDACET-872	Acid Acetilsalicilic Labormed
ACIDACET-873	Acid Acetilsalicilic Laropharm
ACIDACET-874	Acid Acetilsalicilic Mcc
ACIDACET-875	Acid Acetilsalicilic Richter
ACIDACET-876	Acid Acetilsalicilic Sanosan
ACIDACET-877	Acid Acetilsalicilic T
ACIDACET-878	Acid Acetilsalicilic Tamponat Mcc
ACIDACET-879	Acid Acetilsalicilic Zentiva
ACIDALEN-880	Acid Alendronic/Colecalciferol Accord
ACIDALEN-881	Acid Alendronic/Colecalciferol Zentiva
ACIDASCO-882	Acid Ascorbic Arena
ACIDIBAN-883	Acid Ibandronic Stada
ACIDTIOC-884	Acid Tioctic Rompharm
ACIDTIOC-885	Acid Tioctic Zentiva
ACIDTRAN-886	Acid Tranexamic Kabi
ACIDZOLE-887	Acid Zoledronic Accord
ACIDZOLE-888	Acid Zoledronic Fresenius Kabi
ACIDZOLE-889	Acid Zoledronic Rompharm
ACIDA-890	Acida
ACIDAL-891	Acidal
ACIDCARE-892	Acidcare
ACIDEACE-893	Acide Acetylsalicylique Biogaran
ACIDEACE-894	Acide Acetylsalicylique Ibsa
ACIDEACE-895	Acide Acetylsalicylique Panpharma
ACIDEACT-896	Acide Acétylsalicylique Panpharma
ACIDEACE-897	Acide Acetylsalicylique Sandoz
ACIDEALE-898	Acide Alendronique Alter
ACIDEALE-899	Acide Alendronique Arrow Lab
ACIDEALE-900	Acide Alendronique Biogaran
ACIDEALE-901	Acide Alendronique Cristers
ACIDEALE-902	Acide Alendronique Eg
ACIDEALE-903	Acide Alendronique Teva Sante
ACIDEALE-904	Acide Alendronique Viatris
ACIDEALE-905	Acide Alendronique Zentiva
ACIDEALE-906	Acide Alendronique/Cholecalciferol (Vitamine D3) Biogaran
ACIDEALE-907	Acide Alendronique/Cholecalciferol (Vitamine D3) Cristers
ACIDEALE-908	Acide Alendronique/Cholecalciferol (Vitamine D3) Eg
ACIDEALE-909	Acide Alendronique/Cholecalciferol (Vitamine D3) Evolugen
ACIDEALE-910	Acide Alendronique/Cholecalciferol (Vitamine D3) Medipha
ACIDEALE-911	Acide Alendronique/Cholécalciférol Vitamine D3 Zentiva
ACIDEALE-912	Acide Alendronique/Vitamine D3 Arrow
ACIDEALE-913	Acide Alendronique/Vitamine D3 Bgr
ACIDEALE-914	Acide Alendronique/Vitamine D3 Teva Sante
ACIDEALE-915	Acide Alendronique/Vitamine D3 Viatris
ACIDEALE-916	Acide Alendronique/Vitamine Viatris
ACIDECAR-917	Acide Carglumique Tillomed
ACIDECAR-918	Acide Carglumique Waymade
ACIDEFOL-919	Acide Folique Arrow
ACIDEFOL-920	Acide Folique Biogaran
ACIDEFOL-921	Acide Folique Ccd
ACIDEFOL-922	Acide Folique Viatris
ACIDEFUS-923	Acide Fusidique Arrow
ACIDEFUS-924	Acide Fusidique Bgr
ACIDEFUS-925	Acide Fusidique Eg
ACIDEFUS-926	Acide Fusidique Sandoz
ACIDEFUS-927	Acide Fusidique Viatris
ACIDEFUS-928	Acide Fusidique Zentiva
ACIDEGAD-929	Acide Gadoterique Guerbet
ACIDEMYC-930	Acide Mycophenolique Tillomed
ACIDETIA-931	Acide Tiaprofenique Arrow
ACIDETIA-932	Acide Tiaprofenique Zentiva
ACIDETRA-933	Acide Tranexamique Accord
ACIDETRA-934	Acide Tranexamique Aguettant
ACIDETRA-935	Acide Tranexamique Arrow
ACIDETRA-936	Acide Tranexamique Kabi
ACIDETRA-937	Acide Tranexamique La Colina
ACIDETRA-938	Acide Tranexamique Stragen
ACIDETRA-939	Acide Tranexamique Tillomed
ACIDETRA-940	Acide Tranexamique Viatris
ACIDETRA-941	Acide Tranexamique Viatris Santé
ACIDEURS-942	Acide Ursodesoxycholique Arrow
ACIDEURS-943	Acide Ursodesoxycholique Biogaran
ACIDEURS-944	Acide Ursodesoxycholique Grindeks
ACIDEURS-945	Acide Ursodesoxycholique Medipha
ACIDEURS-946	Acide Ursodesoxycholique Substipharm
ACIDEURS-947	Acide Ursodesoxycholique Teva
ACIDEURS-948	Acide Ursodesoxycholique Viatris
ACIDEZOL-949	Acide Zoledronique Altan
ACIDEZOL-950	Acide Zoledronique Biogaran
ACIDEZOL-951	Acide Zolédronique Fresenius Kabi
ACIDEZOL-952	Acide Zoledronique Sandoz
ACIDEZOL-953	Acide Zoledronique Seacross
ACIDEZOL-954	Acide Zoledronique Tillomed
ACIDEZOL-955	Acide Zoledronique Viatris
ACIDEZOL-956	Acide Zoledronique Zentiva Lab
ACIDEX-957	Acidex
ACIDEXAD-958	Acidex Advance (Aniseed Flavour)
ACIDEXAD-959	Acidex Advance (Peppermint Flavour)
ACIDEXAD-960	Acidex Advance Heartburn And Indigestion Relief Aniseed Flavour
ACIDEXAD-961	Acidex Advance Heartburn And Indigestion Relief Peppermint Flavour
ACIDEXA-962	Acidexa
ACIDIBOR-963	Acidi Borici Fono Viii. Naturland
CIDOACET-964	Ácido Acetilsalicílico Alter
CIDOACET-965	Ácido Acetilsalicílico Aristo
ACIDOACE-966	Acido Acetilsalicilico Aurobindo
CIDOACET-967	Ácido Acetilsalicílico Aurovitas
CIDOACET-968	Ácido Acetilsalicílico Aurovitas Spain
CIDOACET-969	Ácido Acetilsalicílico Biofarmoz
CIDOACET-970	Ácido Acetilsalicílico Bluepharma
CIDOACET-971	Ácido Acetilsalicílico Cinfa
CIDOACET-972	Ácido Acetilsalicílico Cinfamed
ACIDOACE-973	Acido Acetilsalicilico Doc Generici
ACIDOACE-974	Acido Acetilsalicilico E Acido Ascorbico Coop
ACIDOACE-975	Acido Acetilsalicilico Eg
CIDOACET-976	Ácido Acetilsalicílico Farmalider
CIDOACET-977	Ácido Acetilsalicílico Farmoz
CIDOACET-978	Ácido Acetilsalicílico Generis
CIDOACET-979	Ácido Acetilsalicílico Kern Pharma
ACIDOACE-980	Acido Acetilsalicilico Krka
CIDOACET-981	Ácido Acetilsalicílico Krka
ACIDOACE-982	Acido Acetilsalicilico L.F.M.
CIDOACET-983	Ácido Acetilsalicílico Liderfen
CIDOACET-984	Ácido Acetilsalicílico Lumec
ACIDOACE-985	Acido Acetilsalicilico Mylan
CIDOACET-986	Ácido Acetilsalicílico Mylan
CIDOACET-987	Ácido Acetilsalicílico Odipe
ACIDOACE-988	Acido Acetilsalicilico Panpharma
ACIDOACE-989	Acido Acetilsalicilico Pensa
CIDOACET-990	Ácido Acetilsalicílico Pensa
CIDOACET-991	Ácido Acetilsalicílico Pensa Pharma
CIDOACET-992	Ácido Acetilsalicílico Pentafarma
CIDOACET-993	Ácido Acetilsalicilico Pharmakern
CIDOACET-994	Ácido Acetilsalicílico Ratio
CIDOACET-995	Ácido Acetilsalicílico Ratiopharm
ACIDOACE-996	Acido Acetilsalicilico Sandoz Gmbh
CIDOACET-997	Ácido Acetilsalicílico Stada
CIDOACET-998	Ácido Acetilsalicílico Tarbis
ACIDOACE-999	Acido Acetilsalicilico Tecnigen
CIDOACET-1000	Ácido Acetilsalicílico Tecnigen
CIDOACET-1001	Ácido Acetilsalicílico Teva
ACIDOACE-1002	Acido Acetilsalicilico Teva Italia
CIDOACET-1003	Ácido Acetilsalicílico Tolife
CIDOACET-1004	Ácido Acetilsalicílico Viatris
ACIDOACE-1005	Acido Acetilsalicilico Zentiva Italia
CIDOALEN-1006	Ácido Alendrónico /Colecalciferol Semanal Stada
CIDOALEN-1007	Ácido Alendrónico + Colecalciferol Aurobindo
CIDOALEN-1008	Ácido Alendrónico + Colecalciferol Azevedos
CIDOALEN-1009	Ácido Alendrónico + Colecalciferol Bluepharma
CIDOALEN-1010	Ácido Alendrónico + Colecalciferol Ciclum
CIDOALEN-1011	Ácido Alendrónico + Colecalciferol Farmoz
CIDOALEN-1012	Ácido Alendrónico + Colecalciferol Generis
CIDOALEN-1013	Ácido Alendrónico + Colecalciferol Lumec
CIDOALEN-1014	Ácido Alendrónico + Colecalciferol Mylan
CIDOALEN-1015	Ácido Alendrónico + Colecalciferol Pensa
CIDOALEN-1016	Ácido Alendrónico + Colecalciferol Pentafarma
CIDOALEN-1017	Ácido Alendrónico + Colecalciferol Pharmakern
CIDOALEN-1018	Ácido Alendrónico + Colecalciferol Ratiopharm
CIDOALEN-1019	Ácido Alendrónico + Colecalciferol Sandoz
CIDOALEN-1020	Ácido Alendrónico + Colecalciferol Tolife
CIDOALEN-1021	Ácido Alendrónico + Colecalciferol Zentiva
CIDOALEN-1022	Ácido Alendrónico + Colecalciferol Zintem
ACIDOALE-1023	Acido Alendronico Alter
ACIDOALE-1024	Acido Alendronico Aurobindo
CIDOALEN-1025	Ácido Alendrónico Aurobindo
CIDOALEN-1026	Ácido Alendrónico Azevedos
CIDOALEN-1027	Ácido Alendrónico Basi
CIDOALEN-1028	Ácido Alendrónico Beapy
CIDOALEN-1029	Ácido Alendrónico Bluefish
CIDOALEN-1030	Ácido Alendrónico Bluepharma
CIDOALEN-1031	Ácido Alendrónico Ciclum
ACIDOALE-1032	Acido Alendronico E Colecalciferolo Aurobindo
ACIDOALE-1033	Acido Alendronico E Colecalciferolo Eg
CIDOALEN-1034	Ácido Alendrónico Farmoz
ACIDOALE-1035	Acido Alendronico Fg
CIDOALEN-1036	Ácido Alendrónico Generis
CIDOALEN-1037	Ácido Alendrónico Generis Phar
CIDOALEN-1038	Ácido Alendrónico Germed
CIDOALEN-1039	Ácido Alendrónico Gp
CIDOALEN-1040	Ácido Alendrónico J. Neves
CIDOALEN-1041	Ácido Alendrónico Jaba
CIDOALEN-1042	Ácido Alendrónico Maxmind
CIDOALEN-1043	Ácido Alendrónico Mepha
CIDOALEN-1044	Ácido Alendrónico Mylan
CIDOALEN-1045	Ácido Alendrónico Ortodrol
CIDOALEN-1046	Ácido Alendrónico Pentafarma
CIDOALEN-1047	Ácido Alendrónico Pharmakern
CIDOALEN-1048	Ácido Alendrónico Qualigen
CIDOALEN-1049	Ácido Alendrónico Ratiopharm
CIDOALEN-1050	Ácido Alendrónico Sandoz
ACIDOALE-1051	Acido Alendrónico Semanal Ababor
CIDOALEN-1052	Ácido Alendrónico Semanal Almus
CIDOALEN-1053	Ácido Alendrónico Semanal Alter Genéricos
CIDOALEN-1054	Ácido Alendrónico Semanal Aristo
CIDOALEN-1055	Ácido Alendrónico Semanal Aurovitas Spain
CIDOALEN-1056	Ácido Alendrónico Semanal Cinfamed
CIDOALEN-1057	Ácido Alendrónico Semanal Davur
CIDOALEN-1058	Ácido Alendrónico Semanal Farmalider
CIDOALEN-1059	Ácido Alendrónico Semanal Kern Pharma
CIDOALEN-1060	Ácido Alendrónico Semanal Mabo
CIDOALEN-1061	Ácido Alendrónico Semanal Normon
CIDOALEN-1062	Ácido Alendrónico Semanal Pensa
CIDOALEN-1063	Ácido Alendrónico Semanal Pharma Combix
CIDOALEN-1064	Ácido Alendrónico Semanal Stada
CIDOALEN-1065	Ácido Alendrónico Semanal Tecnigen
CIDOALEN-1066	Ácido Alendrónico Semanal Teva-Ratio
CIDOALEN-1067	Ácido Alendrónico Semanal Viatris
ACIDOALE-1068	Acido Alendronico Tecnigen
CIDOALEN-1069	Ácido Alendrónico Tecnimede
CIDOALEN-1070	Ácido Alendrónico Tetrafarma
CIDOALEN-1071	Ácido Alendrónico Tolife
CIDOALEN-1072	Ácido Alendrónico Vir
ACIDOALE-1073	Acido Alendronico Zentiva
CIDOALEN-1074	Ácido Alendrónico/Colecalciferol Semanal Aurovitas
CIDOALEN-1075	Ácido Alendrónico/Colecalciferol Semanal Bluefish
CIDOALEN-1076	Ácido Alendrónico/Colecalciferol Semanal Hemony
CIDOALEN-1077	Ácido Alendrónico/Colecalciferol Semanal Kern Pharma
CIDOALEN-1078	Ácido Alendrónico/Colecalciferol Tevagen
CIDOASCR-1079	Ácido Ascórbico
CIDOASCR-1080	Ácido Ascórbico Pls Ip
CIDOASCR-1081	Ácido Ascórbico Vitamina C Labesfal
ACIDOBOR-1082	Acido Borico Afom
ACIDOBOR-1083	Acido Borico Almus
ACIDOBOR-1084	Acido Borico Marco Viti
ACIDOBOR-1085	Acido Borico Na
ACIDOBOR-1086	Acido Borico New.Fa.Dem.
ACIDOBOR-1087	Acido Borico Sella
ACIDOBOR-1088	Acido Borico Zeta
CIDOCARG-1089	Ácido Carglúmico
CIDOCARG-1090	Ácido Carglúmico Tillomed
ACIDOCAR-1091	Acido Carglumico Waymade
CIDOCARG-1092	Ácido Carglúmico Waymade
CIDOCTRI-1093	Ácido Cítrico + Óxido De Magnésio + Picossulfato De Sódio
ACIDOCLO-1094	Acido Clodronico Doc Generici
ACIDOFOL-1095	Acido Folico Actavis
CIDOFLIC-1096	Ácido Fólico Aristo
ACIDOFOL-1097	Acido Folico Doc Generici
ACIDOFOL-1098	Acido Folico Eg S.P.A.
ACIDOFOL-1099	Acido Folico Eg Spa
CIDOFLIC-1100	Ácido Fólico Farmoz
CIDOFLIC-1101	Ácido Fólico Generis
CIDOFLIC-1102	Ácido Fólico Qualigen
ACIDOFOL-1103	Acido Folico Sf
ACIDOFOL-1104	Acido Folico Teva
CIDOFUSD-1105	Ácido Fusídico Farmoz
CIDOFUSD-1106	Ácido Fusídico Isdin
CIDOGADO-1107	Ácido Gadotérico Farmak
ACIDOIBA-1108	Acido Ibandronico Alter
CIDOIBAN-1109	Ácido Ibandrónico Alter
ACIDOIBA-1110	Acido Ibandronico Aurobindo
CIDOIBAN-1111	Ácido Ibandrónico Aurobindo
CIDOIBAN-1112	Ácido Ibandrónico Aurovitas
CIDOIBAN-1113	Ácido Ibandrónico Bluefish
CIDOIBAN-1114	Ácido Ibandrónico Bluepharma
CIDOIBAN-1115	Ácido Ibandrónico Bluesar
CIDOIBAN-1116	Ácido Ibandrónico Ciclum
CIDOIBAN-1117	Ácido Ibandrónico Cinfa
ACIDOIBA-1118	Acido Ibandronico Doc Generici
ACIDOIBA-1119	Acido Ibandronico Eg
CIDOIBAN-1120	Ácido Ibandrónico Farmoz
CIDOIBAN-1121	Ácido Ibandrónico Gedeon Richter
CIDOIBAN-1122	Ácido Ibandrónico Generis
CIDOIBAN-1123	Ácido Ibandrónico Kern Pharma
ACIDOIBA-1124	Acido Ibandronico Mylan
CIDOIBAN-1125	Ácido Ibandrónico Normon
ACIDOIBA-1126	Acido Ibandronico Pensa
CIDOIBAN-1127	Ácido Ibandrónico Pensa
CIDOIBAN-1128	Ácido Ibandrónico Pentafarma
CIDOIBAN-1129	Ácido Ibandrónico Pharmakern
CIDOIBAN-1130	Ácido Ibandrónico Qualigen
CIDOIBAN-1131	Ácido Ibandrónico Ratiopharm
CIDOIBAN-1132	Ácido Ibandrónico Sandoz
CIDOIBAN-1133	Ácido Ibandrónico Stada
CIDOIBAN-1134	Ácido Ibandrónico Synthon
CIDOIBAN-1135	Ácido Ibandrónico Tarbis
ACIDOIBA-1136	Acido Ibandronico Tecnigen
CIDOIBAN-1137	Ácido Ibandrónico Tecnigen
CIDOIBAN-1138	Ácido Ibandrónico Tolife
CIDOIBAN-1139	Ácido Ibandrónico Viatris
CIDOIBAN-1140	Ácido Ibandrónico Vir
CIDOIBAN-1141	Ácido Ibandrónico Vitória
ACIDOIBA-1142	Acido Ibandronico Zentiva
ACIDOMIC-1143	Acido Micofenolico Accord
CIDOMICO-1144	Ácido Micofenólico Accord
CIDOMICO-1145	Ácido Micofenólico Stada
ACIDOMIC-1146	Acido Micofenolico Tillomed
CIDOMICO-1147	Ácido Micofenólico Tillomed
ACIDOSAL-1148	Acido Salicilico Marco Viti
ACIDOSAL-1149	Acido Salicilico Na
CIDOTRAN-1150	Ácido Tranexâmico A.Forall
CIDOTRAN-1151	Ácido Tranexâmico Accord
ACIDOTRA-1152	Acido Tranexamico Adamed
ACIDOTRA-1153	Acido Tranexamico Aurobindo
CIDOTRAN-1154	Ácido Tranexámico Baxter
ACIDOTRA-1155	Acido Tranexamico Bioindustria L.I.M.
CIDOTRAN-1156	Ácido Tranexâmico Generis
CIDOTRAN-1157	Ácido Tranexâmico Hyloris
CIDOTRAN-1158	Ácido Tranexâmico Kabi
CIDOTRAN-1159	Ácido Tranexâmico Maxmind
CIDOTRAN-1160	Ácido Tranexámico Viatris
CIDOTRAN-1161	Ácido Tranexámico Zentiva
ACIDOTRI-1162	Acido Tricloroacetico Zeta
ACIDOURS-1163	Acido Ursodesossicolico Abc
ACIDOURS-1164	Acido Ursodesossicolico Aurobindo
ACIDOURS-1165	Acido Ursodesossicolico Doc Generici
ACIDOURS-1166	Acido Ursodesossicolico Eg
ACIDOURS-1167	Acido Ursodesossicolico Eg Stada
ACIDOURS-1168	Acido Ursodesossicolico Mylan Generics
ACIDOURS-1169	Acido Ursodesossicolico Ratiopharm
CIDOURSO-1170	Ácido Ursodesoxicólico Generis
CIDOVALP-1171	Ácido Valproico Altan
CIDOVALP-1172	Ácido Valproico Aurovitas
CIDOVALP-1173	Ácido Valpróico Aurovitas
ACIDOVAL-1174	Acido Valproico E Sodio Valproato Eg
ACIDOVAL-1175	Acido Valproico E Sodio Valproato Ratiopharm
ACIDOVAL-1176	Acido Valproico E Sodio Valproato Ratiopharm Ratiopharm
CIDOVALP-1177	Ácido Valpróico Generis
CIDOVALP-1178	Ácido Valpróico Generis Phar
ACIDOVAL-1179	Acido Valproico Sandoz
ACIDOVAL-1180	Acido Valproico Seacross
CIDOZOLE-1181	Ácido Zoledrónico Accord
ACIDOZOL-1182	Acido Zoledronico Altan
