+----------------------------+----------------+----------+--------------------+---------------------+-----------------------------------+------------------------+
| Department                 | Admission_Year | KEN_Code | Total_Base_Revenue | Total_Extra_Revenue | Insurance_Provider                | Total_Hospitalizations |
| Μαιευτική                  |           2024 | Π04Μβ    |               2710 |                   0 | Ανασφάλιστος                      |                      1 |
| Μαιευτική                  |           2024 | Π05Μα    |               3329 |                 500 | Ιδιωτική Ασφάλεια                 |                      1 |
| ΜΕΘ                        |           2024 | Γ12Μ     |               3576 |                   0 | ΕΦΚΑ                              |                      1 |
| ΜΕΘ                        |           2024 | Η05Μ     |               4533 |                   0 | ΕΦΚΑ                              |                      1 |
| ΜΕΘ                        |           2024 | Η23Μ     |               2552 |                 900 | ΕΦΚΑ                              |                      1 |
| ΜΕΘ                        |           2024 | Η23Χ     |                786 |                   0 | Ιδιωτική Ασφάλεια                 |                      1 |
| ΜΕΘ                        |           2024 | Λ02Μ     |               1743 |                1200 | ΕΦΚΑ                              |                      1 |
| ΜΕΘ                        |           2024 | Μ12Χ     |               1665 |                1300 | Ιδιωτική Ασφάλεια                 |                      1 |
| ΜΕΘ                        |           2024 | Μ18Α     |                743 |                1500 | ΕΦΚΑ                              |                      1 |
| ΜΕΘ                        |           2024 | Μ28Μ     |               2639 |                   0 | ΕΦΚΑ                              |                      1 |
| ΜΕΘ                        |           2024 | Ν27Μα    |               2529 |                   0 | ΕΦΚΑ                              |                      1 |
| ΜΕΘ                        |           2024 | Υ09Χα    |               1919 |                1600 | Ιδιωτική Ασφάλεια                 |                      1 |
| ΜΕΘ                        |           2024 | Ω20Α     |                557 |                1700 | ΕΦΚΑ                              |                      1 |
| Νευρολογία                 |           2024 | Β10Α     |                220 |                 200 | Ιδιωτική Ασφάλεια                 |                      1 |
| Νευρολογία                 |           2024 | Δ24Μ     |               1619 |                 900 | Ιδιωτική Ασφάλεια                 |                      1 |
| Νευρολογία                 |           2024 | Κ32Χ     |               1089 |                 900 | ΕΦΚΑ                              |                      1 |
| Νευρολογία                 |           2024 | Μ11Α     |               4045 |                 700 | Ανασφάλιστος                      |                      1 |
| Νευρολογία                 |           2024 | Μ73Μ     |               2249 |                   0 | ΕΦΚΑ                              |                      1 |
| Νευρολογία                 |           2024 | Φ22Χ     |                827 |                1700 | ΕΦΚΑ                              |                      1 |
| Νεφρολογία                 |           2024 | Β02Μ     |               1719 |                1000 | ΕΦΚΑ                              |                      1 |
| Νεφρολογία                 |           2024 | Γ20Χ     |                755 |                1100 | Ιδιωτική Ασφάλεια                 |                      1 |
| Νεφρολογία                 |           2024 | Δ01Μ     |               8557 |                   0 | Ιδιωτική Ασφάλεια                 |                      1 |
| Νεφρολογία                 |           2024 | Η20Μ     |               3561 |                   0 | ΕΦΚΑ                              |                      1 |
| Νεφρολογία                 |           2024 | Κ10Μ     |               4166 |                 900 | Ιδιωτική Ασφάλεια                 |                      1 |
| Νεφρολογία                 |           2024 | Κ42Χ     |                934 |                1100 | Ιδιωτική Ασφάλεια                 |                      1 |
| Νεφρολογία                 |           2024 | Ρ21Χ     |                778 |                   0 | ΕΦΚΑ                              |                      1 |
| Νεφρολογία                 |           2024 | Υ22Μ     |               1471 |                   0 | Ιδιωτική Ασφάλεια                 |                      1 |
| Νεφρολογία                 |           2024 | Φ25Μ     |               1256 |                 900 | ΕΦΚΑ                              |                      1 |
| Ογκολογία                  |           2024 | Α20Χ     |               2638 |                   0 | ΕΦΚΑ                              |                      1 |
| Ογκολογία                  |           2024 | Α25Χ     |                949 |                1200 | ΕΦΚΑ                              |                      1 |
| Ογκολογία                  |           2024 | Γ21Α     |                475 |                 500 | ΕΦΚΑ                              |                      1 |
| Ογκολογία                  |           2024 | Ε04Α     |              60030 |                   0 | ΕΦΚΑ                              |                      2 |
| Ογκολογία                  |           2024 | Θ20Χ     |               1580 |                 400 | Ιδιωτική Ασφάλεια                 |                      1 |
| Ογκολογία                  |           2024 | Κ06Μ     |               7182 |                   0 | ΕΦΚΑ                              |                      1 |
| Ογκολογία                  |           2024 | Κ17Χ     |               2617 |                1900 | ΕΦΚΑ                              |                      1 |
| Ογκολογία                  |           2024 | Μ75Μ     |               1455 |                   0 | Ιδιωτική Ασφάλεια                 |                      1 |
| Ογκολογία                  |           2024 | Ν37Α     |                335 |                   0 | ΕΦΚΑ                              |                      1 |
| Ογκολογία                  |           2024 | Ξ21Χ     |                315 |                 700 | ΕΦΚΑ                              |                      1 |
| Ογκολογία                  |           2024 | Σ21Α     |                294 |                 500 | ΕΦΚΑ                              |                      1 |
| Ογκολογία                  |           2024 | Σ22Χ     |                638 |                 300 | ΕΦΚΑ                              |                      1 |
| Ογκολογία                  |           2024 | Τ01Α     |               1381 |                1100 | ΕΦΚΑ                              |                      1 |
| Ογκολογία                  |           2024 | Τ26Μγ    |               1644 |                   0 | Ιδιωτική Ασφάλεια                 |                      1 |
| Ογκολογία                  |           2024 | Υ04Χβ    |               1605 |                 800 | ΕΦΚΑ                              |                      1 |
| Ογκολογία                  |           2024 | Υ05Χ     |               1000 |                 200 | Ιδιωτική Ασφάλεια                 |                      1 |
| Ορθοπεδική                 |           2024 | Α22Χ     |                630 |                   0 | ΕΦΚΑ                              |                      1 |
| Ορθοπεδική                 |           2024 | Α26Χ     |                607 |                1700 | ΕΦΚΑ                              |                      1 |
| Ορθοπεδική                 |           2024 | Θ06Χ     |               1581 |                   0 | ΕΦΚΑ                              |                      1 |
| Ορθοπεδική                 |           2024 | Μ17Χ     |               1764 |                   0 | ΕΦΚΑ                              |                      1 |
| Ορθοπεδική                 |           2024 | Ν22Α     |                243 |                1400 | Ανασφάλιστος                      |                      1 |
| Ορθοπεδική                 |           2024 | Ν24Μ     |               2389 |                 200 | Ιδιωτική Ασφάλεια                 |                      1 |
| Ορθοπεδική                 |           2024 | Ρ24Μα    |               3773 |                   0 | ΕΦΚΑ                              |                      1 |
| Ορθοπεδική                 |           2024 | Υ03Μβ    |               4426 |                 400 | ΕΦΚΑ                              |                      1 |
| Ορθοπεδική                 |           2024 | Ω03Α     |               1281 |                1800 | ΕΦΚΑ                              |                      1 |
| Ουρολογία                  |           2024 | Α25Χ     |                949 |                 100 | Ιδιωτική Ασφάλεια                 |                      1 |
| Ουρολογία                  |           2024 | Α34Μβ    |               1393 |                 700 | ΕΦΚΑ                              |                      1 |
| Ουρολογία                  |           2024 | Α34Χ     |                638 |                 800 | ΕΦΚΑ                              |                      1 |
| Ουρολογία                  |           2024 | Γ05Χ     |               1374 |                 500 | ΕΦΚΑ                              |                      1 |
| Ουρολογία                  |           2024 | Η07Χ     |               2037 |                 500 | ΕΦΚΑ                              |                      1 |
| Ουρολογία                  |           2024 | Κ05Μ     |              10023 |                   0 | ΕΦΚΑ                              |                      1 |
| Ουρολογία                  |           2024 | Λ21Α     |                420 |                1100 | ΕΦΚΑ                              |                      1 |
| Ουρολογία                  |           2024 | Μ31Χ     |               8533 |                   0 | ΕΦΚΑ                              |                      1 |
| Ουρολογία                  |           2024 | Μ65Μ     |               2560 |                   0 | Ανασφάλιστος                      |                      1 |
| Ουρολογία                  |           2024 | Μ69Μ     |               1533 |                   0 | ΕΦΚΑ                              |                      1 |
| Ουρολογία                  |           2024 | Ν21Χ     |               1885 |                 400 | Ανασφάλιστος                      |                      1 |
| Ουρολογία                  |           2024 | Ν27Μα    |               2529 |                   0 | Ιδιωτική Ασφάλεια                 |                      1 |
| Ουρολογία                  |           2024 | Ο15Β     |               1374 |                1200 | ΕΦΚΑ                              |                      2 |
| Ουρολογία                  |           2024 | Π05Μα    |               3329 |                   0 | ΕΦΚΑ                              |                      1 |
| Ουρολογία                  |           2024 | Π44Μ     |               1097 |                1400 | ΕΦΚΑ                              |                      1 |
| Ουρολογία                  |           2024 | Τ03Α     |              16846 |                   0 | Ανασφάλιστος                      |                      1 |
| Ουρολογία                  |           2024 | Φ02Μ     |               9426 |                   0 | ΕΦΚΑ                              |                      1 |
| Ουρολογία                  |           2024 | Φ25Μ     |               1256 |                 400 | ΕΦΚΑ                              |                      1 |
| Οφθαλμολογία               |           2024 | Α20Μ     |               3696 |                   0 | ΕΦΚΑ                              |                      1 |
| Οφθαλμολογία               |           2024 | Η01Μ     |               7916 |                   0 | ΕΦΚΑ                              |                      1 |
| Οφθαλμολογία               |           2024 | Κ39Μ     |               1268 |                 800 | Ιδιωτική Ασφάλεια                 |                      1 |
| Οφθαλμολογία               |           2024 | Μ69Μ     |               1533 |                   0 | ΕΦΚΑ                              |                      1 |
| Οφθαλμολογία               |           2024 | Ν25Α     |                482 |                 100 | Ανασφάλιστος                      |                      1 |
| Οφθαλμολογία               |           2024 | Ν39Χ     |                537 |                 100 | ΕΦΚΑ                              |                      1 |
| Οφθαλμολογία               |           2024 | Ρ20Χ     |               1261 |                 600 | ΕΦΚΑ                              |                      1 |
| Οφθαλμολογία               |           2024 | Σ04Χ     |                966 |                 200 | ΕΦΚΑ                              |                      1 |
| Οφθαλμολογία               |           2024 | Τ20Μ     |                244 |                 400 | ΕΦΚΑ                              |                      1 |
| Οφθαλμολογία               |           2024 | Υ08Μ     |               1271 |                1100 | Ιδιωτική Ασφάλεια                 |                      1 |
| Παιδιατρική                |           2024 | Α22Μβ    |               1144 |                 200 | ΕΦΚΑ                              |                      1 |
| Παιδιατρική                |           2024 | Β01Χ     |               2892 |                 400 | Ιδιωτική Ασφάλεια                 |                      1 |
| Παιδιατρική                |           2024 | Γ08Α     |                719 |                 600 | ΕΦΚΑ                              |                      1 |
| Παιδιατρική                |           2024 | Δ24Χ     |                802 |                   0 | ΕΦΚΑ                              |                      1 |
| Παιδιατρική                |           2024 | Δ28Χ     |                965 |                 500 | ΕΦΚΑ                              |                      1 |
| Παιδιατρική                |           2024 | Ε09Γ     |              10706 |                   0 | ΕΦΚΑ                              |                      1 |
| Παιδιατρική                |           2024 | Η07Χ     |               2037 |                 800 | ΕΦΚΑ                              |                      1 |
| Παιδιατρική                |           2024 | Η40Χ     |                366 |                1300 | Ιδιωτική Ασφάλεια                 |                      1 |
| Παιδιατρική                |           2024 | Θ03Α     |               3297 |                1200 | Ανασφάλιστος                      |                      1 |
| Παιδιατρική                |           2024 | Θ09Χα    |               2080 |                 600 | ΕΦΚΑ                              |                      1 |
| Παιδιατρική                |           2024 | Θ20Α     |                297 |                1700 | Ιδιωτική Ασφάλεια                 |                      1 |
| Παιδιατρική                |           2024 | Θ20Μ     |               4296 |                   0 | ΕΦΚΑ                              |                      1 |
| Παιδιατρική                |           2024 | Μ30Α     |                891 |                1700 | Ιδιωτική Ασφάλεια                 |                      1 |
| Παιδιατρική                |           2024 | Μ66Χ     |                652 |                 100 | Ιδιωτική Ασφάλεια                 |                      1 |
| Παιδιατρική                |           2024 | Σ02Χα    |               3109 |                   0 | ΕΦΚΑ                              |                      1 |
| Παιδιατρική                |           2024 | Σ02Χβ    |               2056 |                 100 | ΕΦΚΑ                              |                      1 |
| Παιδιατρική                |           2024 | Υ07Χ     |                680 |                1000 | Ιδιωτική Ασφάλεια                 |                      1 |
| Παιδιατρική                |           2024 | Φ02Χ     |               8412 |                   0 | ΕΦΚΑ                              |                      1 |
| Παιδιατρική                |           2024 | Ω02Χ     |               1609 |                1100 | ΕΦΚΑ                              |                      1 |
| Πνευμονολογία              |           2024 | S23Χ     |                848 |                   0 | Ιδιωτική Ασφάλεια                 |                      1 |
| Πνευμονολογία              |           2024 | Α10Μ     |               6036 |                 200 | ΕΦΚΑ                              |                      1 |
| Πνευμονολογία              |           2024 | Δ12Χβ    |               1774 |                1200 | ΕΦΚΑ                              |                      1 |
| Πνευμονολογία              |           2024 | Ζ22Μ     |               1167 |                 100 | Ιδιωτική Ασφάλεια                 |                      1 |
| Πνευμονολογία              |           2024 | Κ08Χ     |               5561 |                   0 | Ιδιωτική Ασφάλεια                 |                      1 |
| Πνευμονολογία              |           2024 | Κ13Μ     |               3969 |                 300 | Ιδιωτική Ασφάλεια                 |                      1 |
| Πνευμονολογία              |           2024 | Κ39Χ     |                327 |                1600 | ΕΦΚΑ                              |                      1 |
| Πνευμονολογία              |           2024 | Κ42Μ     |               2054 |                   0 | ΕΦΚΑ                              |                      1 |
| Πνευμονολογία              |           2024 | Μ03Χ     |               6411 |                   0 | ΕΦΚΑ                              |                      1 |
| Πνευμονολογία              |           2024 | Μ13Μ     |               3893 |                   0 | Ιδιωτική Ασφάλεια                 |                      1 |
| Πνευμονολογία              |           2024 | Ν26Χ     |                872 |                 100 | ΕΦΚΑ                              |                      1 |
| Πνευμονολογία              |           2024 | Ξ20Μ     |               1945 |                1100 | Ανασφάλιστος                      |                      1 |
| Πνευμονολογία              |           2024 | Π03Μ     |               6908 |                   0 | ΕΦΚΑ                              |                      1 |
| Πνευμονολογία              |           2024 | Π26Χ     |               1245 |                 600 | ΕΦΚΑ                              |                      1 |
| Πνευμονολογία              |           2024 | Υ09Μ     |               4729 |                   0 | ΕΦΚΑ                              |                      1 |
| Πνευμονολογία              |           2024 | Φ27Μ     |               3631 |                   0 | ΕΦΚΑ                              |                      1 |
| Πνευμονολογία              |           2024 | Χ44Α     |               1152 |                   0 | ΕΦΚΑ                              |                      1 |
| Πνευμονολογία              |           2024 | Ω31Α     |                444 |                1300 | ΕΦΚΑ                              |                      1 |
| Χειρουργική                |           2024 | Ζ21Α     |                848 |                 400 | Ανασφάλιστος                      |                      1 |
| Χειρουργική                |           2024 | Θ23Μ     |               1074 |                   0 | Ιδιωτική Ασφάλεια                 |                      1 |
| Χειρουργική                |           2024 | Κ09Μα    |               6413 |                   0 | Ανασφάλιστος                      |                      1 |
| Χειρουργική                |           2024 | Κ21Χ     |               1494 |                1100 | Ανασφάλιστος                      |                      1 |
| Χειρουργική                |           2024 | Κ42Μ     |               2054 |                   0 | Ανασφάλιστος                      |                      1 |
| Χειρουργική                |           2024 | Μ01Χ     |               9606 |                   0 | ΕΦΚΑ                              |                      1 |
| Χειρουργική                |           2024 | Μ13Μ     |               3893 |                   0 | Ιδιωτική Ασφάλεια                 |                      1 |
| Χειρουργική                |           2024 | Μ32Μβ    |               9963 |                   0 | ΕΦΚΑ                              |                      1 |
| Χειρουργική                |           2024 | Μ66Χ     |                652 |                1300 | ΕΦΚΑ                              |                      1 |
| Χειρουργική                |           2024 | Ν12Χ     |               3720 |                 100 | ΕΦΚΑ                              |                      1 |
| Χειρουργική                |           2024 | Π05Χ     |               1379 |                   0 | ΕΦΚΑ                              |                      1 |
| Χειρουργική                |           2024 | Π45Μ     |               1338 |                   0 | ΕΦΚΑ                              |                      1 |
| Χειρουργική                |           2024 | Ρ20Χ     |               1261 |                 700 | Ιδιωτική Ασφάλεια                 |                      1 |
| Χειρουργική                |           2024 | Φ24Μ     |               2785 |                 400 | ΕΦΚΑ                              |                      1 |
| Χειρουργική                |           2024 | Ω14Α     |                740 |                1300 | ΕΦΚΑ                              |                      1 |
| Χειρουργική                |           2024 | Ω20Α     |                557 |                1900 | ΕΦΚΑ                              |                      1 |
| ΩΡΛ                        |           2024 | G01Μα    |               5709 |                   0 | ΕΦΚΑ                              |                      1 |
| ΩΡΛ                        |           2024 | S21Χ     |                232 |                1000 | ΕΦΚΑ                              |                      1 |
| ΩΡΛ                        |           2024 | Α22Χ     |                630 |                 800 | Ανασφάλιστος                      |                      1 |
| ΩΡΛ                        |           2024 | Α28Μ     |               1377 |                   0 | ΕΦΚΑ                              |                      1 |
| ΩΡΛ                        |           2024 | Μ72Χ     |                490 |                 100 | ΕΦΚΑ                              |                      1 |
| ΩΡΛ                        |           2024 | Μ76Χ     |                389 |                1500 | ΕΦΚΑ                              |                      1 |
| ΩΡΛ                        |           2024 | Ν03Μ     |               5914 |                   0 | Ανασφάλιστος                      |                      1 |
| ΩΡΛ                        |           2024 | Ν21Μ     |               4960 |                   0 | Ιδιωτική Ασφάλεια                 |                      1 |
| ΩΡΛ                        |           2024 | Ν33Α     |                739 |                 300 | Ιδιωτική Ασφάλεια                 |                      1 |
| ΩΡΛ                        |           2024 | Ξ02Χ     |                781 |                1300 | ΕΦΚΑ                              |                      1 |
| ΩΡΛ                        |           2024 | Ο03Α     |                837 |                   0 | ΕΦΚΑ                              |                      1 |
| Δερματολογία               |           2025 | Δ06Α     |               1383 |                 100 | ΕΦΚΑ                              |                      1 |
| Δερματολογία               |           2025 | Ζ02Μ     |               7225 |                   0 | ΕΦΚΑ                              |                      1 |
| Δερματολογία               |           2025 | Θ20Χ     |               1580 |                 100 | ΕΦΚΑ                              |                      1 |
| Δερματολογία               |           2025 | Μ31Χ     |               8533 |                 100 | ΕΦΚΑ                              |                      1 |
| Δερματολογία               |           2025 | Ν30Α     |                420 |                   0 | ΕΦΚΑ                              |                      1 |
| Δερματολογία               |           2025 | Ν41Μ     |               1837 |                 500 | ΕΦΚΑ                              |                      1 |
| Δερματολογία               |           2025 | Ξ20Χα    |                786 |                   0 | ΕΦΚΑ                              |                      1 |
| Δερματολογία               |           2025 | Π01Μ     |               6489 |                   0 | Ιδιωτική Ασφάλεια                 |                      1 |
| Δερματολογία               |           2025 | Π27Α     |                265 |                1800 | Ανασφάλιστος                      |                      1 |
| Δερματολογία               |           2025 | Υ20Μα    |               2934 |                 800 | ΕΦΚΑ                              |                      1 |
| Δερματολογία               |           2025 | Φ02Χ     |               8412 |                   0 | Ιδιωτική Ασφάλεια                 |                      1 |
| Δερματολογία               |           2025 | Ω02Μβ    |               2570 |                 800 | Ιδιωτική Ασφάλεια                 |                      1 |
| Επείγοντα                  |           2025 | Α34Μα    |               1977 |                 100 | ΕΦΚΑ                              |                      1 |
| Επείγοντα                  |           2025 | Β24Α     |                296 |                   0 | Ανασφάλιστος                      |                      1 |
| Επείγοντα                  |           2025 | Δ09Α     |                688 |                 100 | ΕΦΚΑ                              |                      1 |
| Επείγοντα                  |           2025 | Η06Χ     |               1556 |                   0 | ΕΦΚΑ                              |                      1 |
| Επείγοντα                  |           2025 | Η08Μ     |               2111 |                 700 | ΕΦΚΑ                              |                      1 |
| Επείγοντα                  |           2025 | Θ22Μ     |               1393 |                   0 | Ιδιωτική Ασφάλεια                 |                      1 |
| Επείγοντα                  |           2025 | Κ07Χ     |               5354 |                 400 | Ιδιωτική Ασφάλεια                 |                      1 |
| Επείγοντα                  |           2025 | Κ21Μ     |               3680 |                   0 | ΕΦΚΑ                              |                      1 |
| Επείγοντα                  |           2025 | Κ34Χ     |                981 |                1300 | ΕΦΚΑ                              |                      1 |
| Επείγοντα                  |           2025 | Μ12Μα    |               5478 |                   0 | ΕΦΚΑ                              |                      1 |
| Επείγοντα                  |           2025 | Ν04Χ     |               2470 |                 900 | ΕΦΚΑ                              |                      1 |
| Επείγοντα                  |           2025 | Ο02Α     |               1611 |                 300 | ΕΦΚΑ                              |                      1 |
| Επείγοντα                  |           2025 | Σ02Χα    |               3109 |                 800 | ΕΦΚΑ                              |                      1 |
| Επείγοντα                  |           2025 | Τ22Α     |              30725 |                   0 | ΕΦΚΑ                              |                      1 |
| Επείγοντα                  |           2025 | Υ24Α     |                389 |                 300 | ΕΦΚΑ                              |                      1 |
| Καρδιολογία                |           2025 | Α12Μ     |               3984 |                   0 | ΕΦΚΑ                              |                      1 |
| Καρδιολογία                |           2025 | Β02Χ     |               1007 |                1400 | Ανασφάλιστος                      |                      1 |
| Καρδιολογία                |           2025 | Ε06Μ     |              39863 |                   0 | ΕΦΚΑ                              |                      1 |
| Καρδιολογία                |           2025 | Ε06Χβ    |              15548 |                   0 | ΕΦΚΑ                              |                      1 |
| Καρδιολογία                |           2025 | Ζ20Α     |                241 |                   0 | ΕΦΚΑ                              |                      1 |
| Καρδιολογία                |           2025 | Κ03Χ     |              11734 |                 200 | Ανασφάλιστος                      |                      1 |
| Καρδιολογία                |           2025 | Κ09Χ     |               2386 |                1600 | ΕΦΚΑ                              |                      1 |
| Καρδιολογία                |           2025 | Κ22Α     |               7753 |                   0 | ΕΦΚΑ                              |                      1 |
| Καρδιολογία                |           2025 | Κ45Μβ    |               1019 |                   0 | ΕΦΚΑ                              |                      1 |
| Καρδιολογία                |           2025 | Μ17Μ     |               2708 |                   0 | Ανασφάλιστος                      |                      1 |
| Καρδιολογία                |           2025 | Μ19Μ     |               2648 |                   0 | ΕΦΚΑ                              |                      1 |
| Καρδιολογία                |           2025 | Μ66Μ     |               2436 |                 200 | ΕΦΚΑ                              |                      1 |
| Καρδιολογία                |           2025 | Π44Μ     |               1097 |                 500 | ΕΦΚΑ                              |                      1 |
| Καρδιολογία                |           2025 | Υ06Χ     |                808 |                1400 | Ιδιωτική Ασφάλεια                 |                      1 |
| Καρδιολογία                |           2025 | Υ21Α     |                231 |                   0 | ΕΦΚΑ                              |                      1 |
| Καρδιολογία                |           2025 | Φ63Μ     |               1245 |                   0 | Ιδιωτική Ασφάλεια                 |                      1 |
| Μαιευτική                  |           2025 | Α02Μα    |               3922 |                 400 | ΕΦΚΑ                              |                      1 |
| Μαιευτική                  |           2025 | Α21Χ     |               1035 |                 300 | ΕΦΚΑ                              |                      1 |
| Μαιευτική                  |           2025 | Α36Α     |               2412 |                   0 | Ανασφάλιστος                      |                      1 |
| Μαιευτική                  |           2025 | Γ06Χ     |               1264 |                 700 | Ανασφάλιστος                      |                      1 |
| Μαιευτική                  |           2025 | Η41Χ     |                872 |                 200 | Ανασφάλιστος                      |                      1 |
| Μαιευτική                  |           2025 | Θ08Α     |                952 |                   0 | ΕΦΚΑ                              |                      1 |
| Μαιευτική                  |           2025 | Κ33Α     |               3132 |                   0 | ΕΦΚΑ                              |                      1 |
| Μαιευτική                  |           2025 | Ο11Α     |                639 |                 900 | ΕΦΚΑ                              |                      1 |
| Μαιευτική                  |           2025 | Π12Μβ    |               1932 |                   0 | ΕΦΚΑ                              |                      1 |
| Μαιευτική                  |           2025 | Π43Α     |                335 |                 500 | Ιδιωτική Ασφάλεια                 |                      1 |
| Μαιευτική                  |           2025 | Ρ10Μα    |               7118 |                   0 | Ιδιωτική Ασφάλεια                 |                      1 |
| Μαιευτική                  |           2025 | Υ06Χ     |                808 |                1200 | Ιδιωτική Ασφάλεια                 |                      1 |
| Μαιευτική                  |           2025 | Υ09Μ     |               4729 |                   0 | ΕΦΚΑ                              |                      1 |
| Μαιευτική                  |           2025 | Φ63Μ     |               1245 |                   0 | ΕΦΚΑ                              |                      1 |
| Μαιευτική                  |           2025 | Ω35Α     |                265 |                1600 | ΕΦΚΑ                              |                      1 |
| ΜΕΘ                        |           2025 | S01Χ     |               1334 |                 900 | Ιδιωτική Ασφάλεια                 |                      1 |
| ΜΕΘ                        |           2025 | Α34Μβ    |               1393 |                 300 | ΕΦΚΑ                              |                      1 |
| ΜΕΘ                        |           2025 | Γ09Α     |                418 |                 300 | ΕΦΚΑ                              |                      1 |
| ΜΕΘ                        |           2025 | Δ25Μ     |               1105 |                   0 | ΕΦΚΑ                              |                      1 |
| ΜΕΘ                        |           2025 | Η08Μ     |               2111 |                 500 | Ιδιωτική Ασφάλεια                 |                      1 |
| ΜΕΘ                        |           2025 | Κ37Μ     |               1198 |                1100 | ΕΦΚΑ                              |                      1 |
| ΜΕΘ                        |           2025 | Μ68Α     |                151 |                1500 | ΕΦΚΑ                              |                      1 |
| ΜΕΘ                        |           2025 | Μ78Μ     |               1463 |                   0 | ΕΦΚΑ                              |                      1 |
| ΜΕΘ                        |           2025 | Ν26Μ     |               2062 |                 800 | ΕΦΚΑ                              |                      1 |
| ΜΕΘ                        |           2025 | Σ21Χ     |               1886 |                1200 | Ανασφάλιστος                      |                      1 |
| ΜΕΘ                        |           2025 | Φ63Μ     |               1245 |                1400 | Ιδιωτική Ασφάλεια                 |                      1 |
| Νευρολογία                 |           2025 | Γ05Μ     |               2147 |                   0 | ΕΦΚΑ                              |                      1 |
| Νευρολογία                 |           2025 | Η42Μ     |               1938 |                 800 | Ιδιωτική Ασφάλεια                 |                      1 |
| Νευρολογία                 |           2025 | Κ03Χ     |              11734 |                   0 | Ανασφάλιστος                      |                      1 |
| Νευρολογία                 |           2025 | Υ06Μ     |               2381 |                 600 | ΕΦΚΑ                              |                      1 |
| Νευρολογία                 |           2025 | Υ20Μβ    |               1300 |                 100 | ΕΦΚΑ                              |                      1 |
| Νευρολογία                 |           2025 | Υ22Α     |                482 |                 800 | Ανασφάλιστος                      |                      1 |
| Νευρολογία                 |           2025 | Υ28Α     |                296 |                1300 | Ανασφάλιστος                      |                      1 |
| Νευρολογία                 |           2025 | Φ63Μ     |               1245 |                   0 | ΕΦΚΑ                              |                      1 |
| Νευρολογία                 |           2025 | Φ63Χ     |                506 |                1000 | ΕΦΚΑ                              |                      1 |
| Νεφρολογία                 |           2025 | Α02Μβ    |               1595 |                 100 | Ιδιωτική Ασφάλεια                 |                      1 |
| Νεφρολογία                 |           2025 | Β21Α     |                459 |                 800 | Ιδιωτική Ασφάλεια                 |                      1 |
| Νεφρολογία                 |           2025 | Ε08Μ     |              10017 |                   0 | ΕΦΚΑ                              |                      1 |
| Νεφρολογία                 |           2025 | Η05Χ     |               1393 |                   0 | Ανασφάλιστος                      |                      1 |
| Νεφρολογία                 |           2025 | Κ18Χ     |               1146 |                1300 | ΕΦΚΑ                              |                      1 |
| Νεφρολογία                 |           2025 | Μ10Μ     |               3391 |                 600 | Ιδιωτική Ασφάλεια                 |                      1 |
| Νεφρολογία                 |           2025 | Ξ20Μ     |               1945 |                1300 | Ανασφάλιστος                      |                      1 |
| Νεφρολογία                 |           2025 | Π28Α     |                290 |                1600 | Ιδιωτική Ασφάλεια                 |                      1 |
| Νεφρολογία                 |           2025 | Υ02Χ     |               1189 |                1200 | ΕΦΚΑ                              |                      1 |
| Νεφρολογία                 |           2025 | Ω04Μ     |               3125 |                   0 | ΕΦΚΑ                              |                      1 |
| Ογκολογία                  |           2025 | W13Α     |                685 |                   0 | ΕΦΚΑ                              |                      1 |
| Ογκολογία                  |           2025 | Α35Μβ    |                973 |                   0 | ΕΦΚΑ                              |                      1 |
| Ογκολογία                  |           2025 | Δ29Μ     |               2171 |                   0 | ΕΦΚΑ                              |                      1 |
| Ογκολογία                  |           2025 | Η41Χ     |                872 |                   0 | Ανασφάλιστος                      |                      1 |
| Ογκολογία                  |           2025 | Κ46Χ     |                444 |                1200 | Ανασφάλιστος                      |                      1 |
| Ογκολογία                  |           2025 | Μ64Μ     |               2669 |                   0 | ΕΦΚΑ                              |                      1 |
| Ογκολογία                  |           2025 | Φ04Χ     |               5558 |                 200 | ΕΦΚΑ                              |                      1 |
| Ογκολογία                  |           2025 | Φ25Μ     |               1256 |                1100 | Ανασφάλιστος                      |                      1 |
| Ογκολογία                  |           2025 | Ω35Α     |                265 |                 300 | ΕΦΚΑ                              |                      1 |
| Ορθοπεδική                 |           2025 | Α34Μα    |               1977 |                   0 | ΕΦΚΑ                              |                      1 |
| Ορθοπεδική                 |           2025 | Ε08Χ     |               3683 |                 700 | ΕΦΚΑ                              |                      1 |
| Ορθοπεδική                 |           2025 | Κ05Χ     |               7270 |                   0 | ΕΦΚΑ                              |                      1 |
| Ορθοπεδική                 |           2025 | Κ32Μ     |               2062 |                 400 | ΕΦΚΑ                              |                      1 |
| Ορθοπεδική                 |           2025 | Μ12Μβ    |               2993 |                   0 | Ιδιωτική Ασφάλεια                 |                      1 |
| Ορθοπεδική                 |           2025 | Μ27Χ     |                902 |                1400 | ΕΦΚΑ                              |                      1 |
| Ορθοπεδική                 |           2025 | Ν31Μ     |               1510 |                 800 | Ιδιωτική Ασφάλεια                 |                      1 |
| Ορθοπεδική                 |           2025 | Ρ10Χ     |               1473 |                 600 | ΕΦΚΑ                              |                      1 |
| Ορθοπεδική                 |           2025 | Ρ21Χ     |                778 |                   0 | ΕΦΚΑ                              |                      1 |
| Ορθοπεδική                 |           2025 | Σ01Μ     |               8558 |                   0 | ΕΦΚΑ                              |                      1 |
